SMILES,MOLREGNO,Sol_uM,Acidic_pKa,Basic_pKa,Charge_State
Clc1ccc(CN(Cc2ccc(Cl)cc2)c3nn[nH]n3)cc1,313865,117.5,9.4,-0.82,neutral
CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CCOCC4)ncc2F,490327,117.5,14.91,5.74,neutral
COc1cc2ncnc(Nc3ccccc3)c2cc1OC,151181,117.5,16.42,4.68,neutral
ON1C(=O)N(CC2COc3ccccc3O2)c4ccsc4C1=O,305336,120.19999999999995,5.19,-4.63,acidic
CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cccc(Cl)c3)n2)cc1,164062,120.19999999999995,13.91,8.7,basic
CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CC(C4)NC(=O)C)ncc2F,490328,120.19999999999995,14.76,5.74,neutral
COCCCc1cc(Nc2nc(NCc3onc(C)c3)ncc2Br)n[nH]1,1365762,120.19999999999995,11.86,5.07,neutral
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC4CCN(C)CC4,358925,120.19999999999995,16.1,9.14,basic
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2,1346282,122.99999999999997,4.57,-3.22,acidic
Nc1ccccc1NC(=O)c2ccc(cc2)C3CCN(Cc4ccccc4)CC3,427073,122.99999999999997,15.94,9.14,basic
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(C)CC4,358882,122.99999999999997,14.1,8.37,basic
CC(Nc1ncnc2ccccc12)c3ccccc3,974162,122.99999999999997,17.97,4.81,neutral
FC(F)(F)Oc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,1427008,122.99999999999997,11.87,-0.35,neutral
Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccc(cc3)C#N,644779,122.99999999999997,16.57,-1.01,neutral
Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2,36237,125.9,13.67,4.74,neutral
CC(=O)c1ccc2NC(=CC(=O)c2c1)c3cccnc3,1060624,125.9,9.84,4.71,neutral
NC(=O)c1ccccc1OCc2ccccc2,94173,125.9,13.67,-0.93,neutral
COCCOc1cc(Nc2nccc(n2)N(C)c3cc(CO)ccc3C)cc(c1)N4CCOCC4,1139838,125.9,13.14,4.39,neutral
ONC(=O)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,126117,125.9,8.82,-3.57,neutral
CC(N1C(=O)c2ccccc2C1=O)C(=O)N3CCc4ccccc4C3,1085245,128.8,16.25,-4.58,neutral
Cc1onc(n1)c2ccc(OCC3CN(C3)c4ccc(C)nn4)cc2,1179977,128.8,,4.4,neutral
Brc1ccc(cc1)C(=O)Cn2cnc3ccccc23,1088039,128.8,15.12,5.56,neutral
Clc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,1428117,128.8,12.0,-0.35,neutral
CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)Cc4ccc(F)cc4,305171,128.8,,9.42,basic
O=C(NNc1oc2ccccc2n1)c3ccccc3,793121,128.8,10.41,-2.39,neutral
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(C(=O)N(C)C)c(F)c3)n2,453170,131.8,11.84,6.0,neutral
N(c1ccccc1)c2ncnc3ccccc23,55040,131.8,16.06,4.02,neutral
OC(=O)c1c(Sc2ccccc2)c3cc(Cl)ccc3n1Cc4ccc(Cl)cc4,330802,131.8,4.42,,acidic
FC(F)(F)c1nnc2ccc(nn12)N3CCCCCC3,850849,131.8,,0.43,neutral
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN(CCO)CC(C)C,363079,131.8,11.55,9.8,basic
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,16509,131.8,13.18,-3.24,neutral
COc1ccc(cc1OC)C(=O)Nc2nccs2,968481,131.8,13.71,-0.11,neutral
C[C@H](CNCCc1ccncc1)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4CC5CCC4CC5)c6cc(C)cc(C)c6,140162,131.8,15.71,10.48,basic
CCn1c(nc2c(ncc(OCC3CCCNC3)c12)C#CC(C)(C)O)c4nonc4N,1412558,134.89999999999998,13.27,10.07,basic
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)N)n2,452953,134.89999999999998,12.44,6.0,neutral
Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3C#N,644777,134.89999999999998,16.57,-1.36,neutral
O=C(NCc1ccccc1)C2=COC(=O)C=C2,1088919,134.89999999999998,15.11,-0.7,neutral
O=C(NCC#N)[C@@H]1CCCC[C@H]1C(=O)N2CCN(CC2)c3ccc(cc3)C#N,1431488,138.00000000000003,12.16,0.75,neutral
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,721,138.00000000000003,,2.92,neutral
COc1cc(ccc1Nc2ncc3N(C)C(=O)CCN(C4CCCCC4)c3n2)C(=O)NC5CCN(C)CC5,1086904,138.00000000000003,12.27,8.57,basic
CCCS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc(C)n3C(C)C)cc1,514680,138.00000000000003,11.67,6.0,neutral
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,365281,141.3,12.42,-3.33,neutral
OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cc(CC(=O)Nc5cccc(F)c5F)[nH]n4)ncnc3c2,363082,141.3,11.53,9.12,basic
OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1425363,141.3,4.96,9.58,zwitterionic
CCOC(=O)c1ccc(OCC2CN(C2)c3ccc(C)nn3)cc1,1179969,141.3,,4.4,neutral
Brc1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,1427003,141.3,12.04,-0.35,neutral
Fc1ccccc1COc2cc(OCCCN3CCCC3)ccc2C(=O)Nc4ccccc4,1174709,141.3,14.84,9.31,basic
CCN(CC)C(=O)C(C)(C)c1ccc2[nH]c(c(CCNCCCCc3ccncc3)c2c1)c4cc(C)cc(C)c4,73424,141.3,15.82,10.52,basic
O=S(=O)(NCc1ccccc1)c2cccc3nonc23,992932,141.3,8.84,-3.64,neutral
COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OCCN5CCCCC5)cc34)cn2)c1,1274962,141.3,12.93,8.34,basic
Cc1onc(CO)c1C(=O)Nc2nccs2,813286,144.49999999999997,12.29,-0.09,neutral
COc1cc(ccc1Cc2cn(C)c3ccc(cc23)C(=O)NCCc4ccccc4)C(=O)NS(=O)(=O)c5ccccc5C,216535,144.49999999999997,4.29,-0.89,acidic
CCN(C1CCN(CCC(N2CCN(CC2)c3cccc(F)c3)c4ccccc4)CC1)C(=O)Cc5ccc(cc5)S(=O)(=O)C,1280885,144.49999999999997,19.7,8.99,basic
FC(F)(F)c1cccc2c3CN(CCc3[nH]c12)C(=O)[C@@H]4CCCC[C@H]4C(=O)NC5(CC5)C#N,1427005,144.49999999999997,11.87,-0.35,neutral
COc1ccc(\C=C/c2cc(OC)c(OC)c(OC)c2)cc1O,5295,144.49999999999997,9.84,-4.31,neutral
CC(C)Oc1cc(Oc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,1146826,144.49999999999997,3.74,0.85,acidic
Fc1ccc(cc1)C(=O)C2CCN(CC2)C(=O)c3ccccc3OC(F)(F)F,644983,144.49999999999997,16.57,-1.44,neutral
Clc1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(CCCc4ccccc4)C3)CC2)cc1Cl,1346293,144.49999999999997,13.12,9.71,basic
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)N4CCN(CC4)C(=O)C)n2,490122,147.9,14.57,6.01,neutral
NC1(CCC1)c2ccc(cc2)c3nn4ccccc4c3c5ccccc5,1344540,147.9,,9.52,basic
C[C@H](CNCCc1ccncc1)c2c([nH]c3ccc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6,140873,147.9,15.71,10.48,basic
CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N,619,151.4,8.85,0.1,neutral
Clc1ccc(Cl)c(c1)S(=O)(=O)Nc2nc(cs2)c3sccc3Cl,1004544,151.4,6.53,-0.79,acidic
